0.5646411602900725 2258
Index,Python,TestBench
1164,01111011,01111111

1165,01111111,01111011

1166,01111111,01111011

1167,01111011,01111111

1168,10001101,10011011

1169,10011011,10001101

1170,01111111,10000001

1171,01001001,10110111

1172,10110111,01001001

1173,01100101,01110011

1174,01110011,01100101

1175,10000101,10000001

1176,10000001,10000101

1177,10000001,10000101

1178,10000101,10000001

1179,01110011,01100101

1180,01100101,01110011

1181,10000001,01111111

1182,10110111,01001001

1183,01001001,10110111

1184,10011011,10001101

1185,10001101,10011011

1186,10001111,10100001

1187,10100001,10001111

1188,01111111,10000001

1189,00111101,10011101

1190,10011101,00111101

1191,10000001,01111111

1192,10011101,00111101

1193,00111101,10011101

1194,10100001,10001111

1195,10001111,10100001

1196,01111011,01111111

1197,01111111,01111011

1198,01111111,01111011

1199,01111011,01111111

1200,10001101,10011011

1201,10011011,10001101

1202,01111111,10000001

1203,01001001,10110111

1204,10110111,01001001

1205,01100111,01111001

1206,01111001,01100111

1207,01110111,01100001

1208,01100001,01110111

1209,10000001,01111111

1210,11000101,01101001

1211,01101001,11000101

1212,01111111,10000001

1213,01010111,10101001

1214,10101001,01010111

1215,10000001,01111111

1216,10010111,00111011

1217,00111011,10010111

1218,10011111,10001001

1219,10001001,10011111

1220,10000111,10011001

1221,10011001,10000111

1222,01111111,10000001

1223,01001011,10111101

1224,10111101,01001011

1225,10000001,01111111

1226,10111011,01000101

1227,01000101,10111011

1228,01111111,10000001

1229,01000101,10111011

1230,10111011,01000101

1231,01010111,01010011

1232,01010011,01010111

1233,10000001,01111111

1234,11001001,01100101

1235,01100101,11001001

1236,01111111,10000001

1237,01100011,11000011

1238,11000011,01100011

1239,01011111,01110001

