0.5643910977744436 2257
Index,Python,TestBench
1146,01010111,01010011

1147,10000001,01111111

1148,10111101,01001011

1149,01001011,10111101

1150,10011001,10000111

1151,10000111,10011001

1152,10000111,10011001

1153,10011001,10000111

1154,01111111,10000001

1155,01001011,10111101

1156,10111101,01001011

1157,01010111,01010011

1158,01010011,01010111

1159,10000001,01111111

1160,11001011,01101011

1161,01101011,11001011

1162,01111111,10000001

1163,01010101,10100011

1164,10100011,01010101

1165,10000001,01111111

1166,10100101,01011011

1167,01011011,10100101

1168,01111111,10000001

1169,01011011,10100101

1170,10100101,01011011

1171,10000001,01111111

1172,10100101,01011011

1173,01011011,10100101

1174,01111111,10000001

1175,01011101,10101011

1176,10101011,01011101

1177,10000001,01111111

1178,10010101,00110101

1179,00110101,10010101

1180,10101101,10101001

1181,10101001,10101101

1182,01111111,10000001

1183,01000011,10110101

1184,10110101,01000011

1185,01100101,01110011

1186,01110011,01100101

1187,01110011,01100101

1188,01100101,01110011

1189,10000001,01111111

1190,10110101,01000011

1191,01000011,10110101

1192,10101001,10101101

1193,10101101,10101001

1194,01111111,10000001

1195,00110111,10011011

1196,10011011,00110111

1197,10000001,01111111

1198,10011101,00111101

1199,00111101,10011101

1200,10100001,10001111

1201,10001111,10100001

1202,10001111,10100001

1203,10100001,10001111

1204,01111111,10000001

1205,00111011,10010111

1206,10010111,00111011

1207,10000001,01111111

1208,10101001,01010111

1209,01010111,10101001

1210,01111111,10000001

1211,01101011,11001011

1212,11001011,01101011

1213,01010011,01010111

1214,01010111,01010011

1215,10000001,01111111

1216,10111011,01000101

1217,01000101,10111011

1218,10101001,10101101

1219,10101101,10101001

1220,01111111,10000001

1221,00110111,10011011

1222,10011011,00110111

1223,10000001,01111111

1224,10011101,00111101

1225,00111101,10011101

1226,10011111,10001001

1227,10001001,10011111

1228,10000111,10011001

1229,10011001,10000111

1230,01111111,10000001

1231,01001011,10111101

1232,10111101,01001011

1233,01010111,01010011

1234,01010011,01010111

1235,10000001,01111111

1236,11001001,01100101

1237,01100101,11001001

1238,01111111,10000001

1239,01100011,11000011

